Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Volume),Average Daily Origin Zone Traffic (StL Volume),Average Daily Destination Zone Traffic (StL Volume),Avg Travel Time (sec)
All Vehicles - StL All Vehicles Volume,,Ledsen Winery and Vineyards,yes,45,yes,,Trinity Rd.,yes,195,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),0,154,725,840
All Vehicles - StL All Vehicles Volume,,Ledsen Winery and Vineyards,yes,45,yes,,Trinity Rd.,yes,195,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),13,1457,2372,739
All Vehicles - StL All Vehicles Volume,,Ledsen Winery and Vineyards,yes,45,yes,,Trinity Rd.,yes,195,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),4,883,1142,697
All Vehicles - StL All Vehicles Volume,,Ledsen Winery and Vineyards,yes,45,yes,,Trinity Rd.,yes,195,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),4,479,818,770
All Vehicles - StL All Vehicles Volume,,Ledsen Winery and Vineyards,yes,45,yes,,Warm Springs Rd.,yes,25,yes,0: All Days (M-Su),0: All Day (12am-12am),5,798,2456,904
All Vehicles - StL All Vehicles Volume,,Ledsen Winery and Vineyards,yes,45,yes,,Warm Springs Rd.,yes,25,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,480,992,1290
All Vehicles - StL All Vehicles Volume,,Ledsen Winery and Vineyards,yes,45,yes,,Warm Springs Rd.,yes,25,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),0,253,749,711
All Vehicles - StL All Vehicles Volume,,Ledsen Winery and Vineyards,yes,45,yes,,Warm Springs Rd.,yes,25,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),10,1457,2434,962
All Vehicles - StL All Vehicles Volume,,Ledsen Winery and Vineyards,yes,45,yes,,Warm Springs Rd.,yes,25,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),5,883,1111,1290
All Vehicles - StL All Vehicles Volume,,Ledsen Winery and Vineyards,yes,45,yes,,Warm Springs Rd.,yes,25,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),5,479,685,743
All Vehicles - StL All Vehicles Volume,,MacLaren Winery,yes,298,yes,,Landmark Vineyards,yes,283,yes,0: All Days (M-Su),0: All Day (12am-12am),0,160,492,42
All Vehicles - StL All Vehicles Volume,,MacLaren Winery,yes,298,yes,,Landmark Vineyards,yes,283,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,160,298,42
All Vehicles - StL All Vehicles Volume,,MacLaren Winery,yes,298,yes,,Landmark Vineyards,yes,283,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),150,289,753,42
All Vehicles - StL All Vehicles Volume,,MacLaren Winery,yes,298,yes,,Landmark Vineyards,yes,283,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),154,289,501,42
All Vehicles - StL All Vehicles Volume,,MacLaren Winery,yes,298,yes,,MacLaren Winery,yes,298,yes,0: All Days (M-Su),0: All Day (12am-12am),0,160,160,N/A
All Vehicles - StL All Vehicles Volume,,MacLaren Winery,yes,298,yes,,MacLaren Winery,yes,298,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,160,160,N/A
All Vehicles - StL All Vehicles Volume,,MacLaren Winery,yes,298,yes,,MacLaren Winery,yes,298,yes,1: Weekday (M-Th),0: All Day (12am-12am),0,137,137,N/A
All Vehicles - StL All Vehicles Volume,,MacLaren Winery,yes,298,yes,,MacLaren Winery,yes,298,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),0,137,137,N/A
All Vehicles - StL All Vehicles Volume,,MacLaren Winery,yes,298,yes,,MacLaren Winery,yes,298,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),291,289,289,N/A
All Vehicles - StL All Vehicles Volume,,MacLaren Winery,yes,298,yes,,MacLaren Winery,yes,298,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),295,289,289,N/A
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),0: All Day (12am-12am),44,15338,613,724
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),2: Peak AM (6am-10am),12,3166,110,739
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),26,5221,312,731
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),6,4846,148,766
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),5: Late PM (7pm-12am),0,1713,35,578
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),0: All Day (12am-12am),52,14949,623,698
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),19,3705,146,754
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),26,4596,290,695
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),7,4764,166,607
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),0,1497,14,582
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),29,15459,432,695
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),24,6420,284,637
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),5,4765,67,1020
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Annadel Estate Winery,yes,30,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),5,1993,54,572
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),0: All Day (12am-12am),100,15338,6281,971
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),1: Early AM (12am-6am),1,392,135,268
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),2: Peak AM (6am-10am),13,3166,1158,1440
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),37,5221,2257,869
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),34,4846,2126,1007
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,0: All Days (M-Su),5: Late PM (7pm-12am),13,1713,605,696
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),0: All Day (12am-12am),90,14949,6039,1035
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),1: Early AM (12am-6am),1,386,124,292
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),16,3705,1333,1510
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),34,4596,1991,935
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),30,4764,2090,1028
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),8,1497,501,652
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),121,15459,6269,870
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1,393,153,N/A
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),8,1888,716,1586
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),50,6420,2752,650
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),42,4765,1944,946
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Arnold Dr.,yes,315,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),18,1993,705,812
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,0: All Days (M-Su),0: All Day (12am-12am),32,15338,592,306
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,0: All Days (M-Su),2: Peak AM (6am-10am),9,3166,91,296
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),10,5221,185,325
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),12,4846,212,305
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,0: All Days (M-Su),5: Late PM (7pm-12am),0,1713,94,304
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,1: Weekday (M-Th),0: All Day (12am-12am),41,14949,502,306
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),10,3705,76,288
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),10,4596,154,317
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),20,4764,196,310
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),0,1497,65,292
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),21,15459,661,308
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),0,6420,206,350
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),11,4765,221,285
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,B Wise Vineyards,yes,327,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),10,1993,152,310
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),0: All Day (12am-12am),256,15338,4241,449
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),1: Early AM (12am-6am),1,392,35,659
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),2: Peak AM (6am-10am),39,3166,864,448
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),107,5221,1422,454
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),88,4846,1530,448
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,0: All Days (M-Su),5: Late PM (7pm-12am),21,1713,390,408
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),0: All Day (12am-12am),256,14949,4335,456
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),1: Early AM (12am-6am),1,386,27,615
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),42,3705,1026,439
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),116,4596,1354,457
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),86,4764,1591,461
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),12,1497,337,463
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),230,15459,3741,430
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1,393,50,410
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),25,1888,486,407
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),93,6420,1578,445
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),86,4765,1215,433
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Bennet Valley Rd.,yes,129,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),24,1993,412,387
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),0: All Day (12am-12am),131,15338,1043,520
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),1: Early AM (12am-6am),0,392,7,430
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),2: Peak AM (6am-10am),17,3166,101,517
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),91,5221,601,514
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),24,4846,312,554
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,0: All Days (M-Su),5: Late PM (7pm-12am),2,1713,21,450
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),0: All Day (12am-12am),81,14949,716,503
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),1: Early AM (12am-6am),0,386,5,430
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),14,3705,117,495
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),53,4596,410,515
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),9,4764,170,467
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),2,1497,13,443
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),225,15459,1598,515
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),15,1888,52,488
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),170,6420,954,498
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),43,4765,547,602
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Chateau St. Jean Winery,yes,52,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),2,1993,39,510
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,0: All Days (M-Su),0: All Day (12am-12am),70,15338,714,385
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,0: All Days (M-Su),1: Early AM (12am-6am),2,392,11,352
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,0: All Days (M-Su),2: Peak AM (6am-10am),33,3166,221,357
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),21,5221,252,431
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),3,4846,198,486
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,0: All Days (M-Su),5: Late PM (7pm-12am),9,1713,32,342
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,1: Weekday (M-Th),0: All Day (12am-12am),86,14949,826,379
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,1: Weekday (M-Th),1: Early AM (12am-6am),2,386,14,382
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),47,3705,296,349
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),21,4596,244,456
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),6,4764,234,399
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),11,1497,38,349
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),39,15459,415,379
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1,393,4,262
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),2,1888,16,765
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),25,6420,256,383
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),3,4765,112,N/A
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kenwood Vineyards,yes,350,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),8,1993,27,328
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,0: All Days (M-Su),0: All Day (12am-12am),157,15338,1116,387
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,0: All Days (M-Su),1: Early AM (12am-6am),0,392,14,483
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,0: All Days (M-Su),2: Peak AM (6am-10am),12,3166,111,398
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),113,5221,629,381
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),28,4846,337,401
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,0: All Days (M-Su),5: Late PM (7pm-12am),2,1713,26,442
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,1: Weekday (M-Th),0: All Day (12am-12am),93,14949,722,383
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,1: Weekday (M-Th),1: Early AM (12am-6am),3,386,13,500
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),14,3705,129,375
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),66,4596,396,379
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),10,4764,177,415
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),0,1497,6,232
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),277,15459,1903,387
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),0,393,14,450
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),6,1888,88,498
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),206,6420,1098,379
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),63,4765,648,403
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Kunde Winery Rd.,yes,84,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),2,1993,55,430
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Landmark Vineyards,yes,283,yes,0: All Days (M-Su),0: All Day (12am-12am),58,15338,492,534
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Landmark Vineyards,yes,283,yes,0: All Days (M-Su),2: Peak AM (6am-10am),0,3166,17,765
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Landmark Vineyards,yes,283,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),45,5221,298,539
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Landmark Vineyards,yes,283,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),9,4846,162,504
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Landmark Vineyards,yes,283,yes,0: All Days (M-Su),5: Late PM (7pm-12am),0,1713,13,410
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Landmark Vineyards,yes,283,yes,1: Weekday (M-Th),0: All Day (12am-12am),28,14949,341,545
All Vehicles - StL All Vehicles Volume,,Sonoma Highway NB,yes,335,yes,,Landmark Vineyards,yes,283,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),0,3705,21,765
